date,nav
12-04-2024,13.62000
10-04-2024,13.74870
09-04-2024,13.67520
08-04-2024,13.69360
05-04-2024,13.61230
04-04-2024,13.59240
03-04-2024,13.55180
02-04-2024,13.55310
01-04-2024,13.53500
31-03-2024,13.42610
28-03-2024,13.42640
27-03-2024,13.29610
26-03-2024,13.24050
22-03-2024,13.26000
21-03-2024,13.20440
20-03-2024,13.06930
19-03-2024,13.05020
18-03-2024,13.20580
15-03-2024,13.17890
14-03-2024,13.25440
13-03-2024,13.12340
12-03-2024,13.38190
11-03-2024,13.41400
07-03-2024,13.49650
06-03-2024,13.46870
05-03-2024,13.41710
04-03-2024,13.44310
01-03-2024,13.39500
29-02-2024,13.19900
28-02-2024,13.15900
27-02-2024,13.31400
26-02-2024,13.28230
23-02-2024,13.32160
22-02-2024,13.31630
21-02-2024,13.21240
20-02-2024,13.29310
19-02-2024,13.25210
16-02-2024,13.20730
15-02-2024,13.12660
14-02-2024,13.07030
13-02-2024,12.99330
12-02-2024,12.91210
09-02-2024,13.03240
08-02-2024,13.00490
07-02-2024,13.09260
06-02-2024,13.05500
05-02-2024,12.94510
02-02-2024,12.99540
01-02-2024,12.90220
31-01-2024,12.90920
30-01-2024,12.78920
29-01-2024,12.90340
25-01-2024,12.68460
24-01-2024,12.73080
23-01-2024,12.59110
19-01-2024,12.83010
18-01-2024,12.71700
17-01-2024,12.78130
16-01-2024,13.03500
15-01-2024,13.07250
12-01-2024,12.96790
11-01-2024,12.84120
10-01-2024,12.80800
09-01-2024,12.76720
08-01-2024,12.74150
05-01-2024,12.86080
04-01-2024,12.83740
03-01-2024,12.74210
02-01-2024,12.79710
01-01-2024,12.83770
29-12-2023,12.82870
28-12-2023,12.83640
27-12-2023,12.76870
26-12-2023,12.65280
22-12-2023,12.59020
21-12-2023,12.52870
20-12-2023,12.45070
19-12-2023,12.65830
18-12-2023,12.63640
15-12-2023,12.64270
14-12-2023,12.50730
13-12-2023,12.35260
12-12-2023,12.32870
11-12-2023,12.38910
08-12-2023,12.35760
07-12-2023,12.33970
06-12-2023,12.33850
05-12-2023,12.26540
04-12-2023,12.15320
01-12-2023,11.90860
30-11-2023,11.82780
29-11-2023,11.79010
28-11-2023,11.67460
24-11-2023,11.60120
23-11-2023,11.60550
22-11-2023,11.60530
21-11-2023,11.59810
20-11-2023,11.55390
17-11-2023,11.57930
16-11-2023,11.58620
15-11-2023,11.53320
13-11-2023,11.40320
10-11-2023,11.38550
09-11-2023,11.36730
08-11-2023,11.40010
07-11-2023,11.36900
06-11-2023,11.35870
03-11-2023,11.25470
02-11-2023,11.18640
01-11-2023,11.08750
31-10-2023,11.14140
30-10-2023,11.16800
27-10-2023,11.11870
26-10-2023,10.99280
25-10-2023,11.14080
23-10-2023,11.22410
20-10-2023,11.38700
19-10-2023,11.44040
18-10-2023,11.46810
17-10-2023,11.55420
16-10-2023,11.50860
13-10-2023,11.51530
12-10-2023,11.53670
11-10-2023,11.54190
10-10-2023,11.47210
09-10-2023,11.36310
06-10-2023,11.45390
05-10-2023,11.39070
04-10-2023,11.33250
03-10-2023,11.40050
29-09-2023,11.45010
27-09-2023,11.49610
26-09-2023,11.46760
25-09-2023,11.46830
22-09-2023,11.47280
21-09-2023,11.50830
20-09-2023,11.60020
18-09-2023,11.73070
15-09-2023,11.76160
14-09-2023,11.71280
13-09-2023,11.68540
12-09-2023,11.64320
11-09-2023,11.68150
08-09-2023,11.57600
07-09-2023,11.51850
06-09-2023,11.45370
05-09-2023,11.42650
04-09-2023,11.39990
01-09-2023,11.34050
31-08-2023,11.23660
30-08-2023,11.29660
29-08-2023,11.28720
28-08-2023,11.25950
25-08-2023,11.23080
24-08-2023,11.30640
23-08-2023,11.32920
22-08-2023,11.30760
21-08-2023,11.29490
18-08-2023,11.23700
17-08-2023,11.26780
16-08-2023,11.32200
14-08-2023,11.30630
11-08-2023,11.32180
10-08-2023,11.37820
09-08-2023,11.43160
08-08-2023,11.39210
07-08-2023,11.40640
04-08-2023,11.36420
03-08-2023,11.28340
02-08-2023,11.36120
